,Position,Track Name,Artist,Streams,URL,Year,Month
111,112,Taste (feat. Offset),Tyga,53613,https://open.spotify.com/track/2toVe5hfuIi97ytDPDbQFt,2019,07
112,113,Mr. Brightside,The Killers,52872,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN,2019,07
113,114,Evil Spider,BENEE,52810,https://open.spotify.com/track/3NqoZnyv3qLAM0y3CjB8l2,2019,07
114,115,Feels (feat. Young Thug & J Hus),Ed Sheeran,52659,https://open.spotify.com/track/1Bdptrvb7nQkq8kCw3siE9,2019,07
115,116,Pure Water (with Migos),Mustard,52556,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8,2019,07
116,117,"SPIRIT - From Disney's ""The Lion King""",Beyoncé,52544,https://open.spotify.com/track/6ucmgsair6pvRYfwgvI6e0,2019,07
117,118,Don't Stop Believin',Journey,52181,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue,2019,07
118,119,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,52054,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA,2019,07
119,120,Glitter,BENEE,51775,https://open.spotify.com/track/23TPP1eeElFfvYVznskwCY,2019,07
120,121,1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie),Ed Sheeran,51747,https://open.spotify.com/track/4vIKzWqtn44umal5jXq4wE,2019,07
121,122,Go Your Own Way - 2004 Remaster,Fleetwood Mac,51741,https://open.spotify.com/track/07GvNcU1WdyZJq3XxP0kZa,2019,07
122,123,Pop Out (feat. Lil Tjay),Polo G,51721,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1,2019,07
123,124,On A Roll,Ashley O,51707,https://open.spotify.com/track/56JyMaElW79S7TDWh1Zw1m,2019,07
124,125,Lost In Japan,Shawn Mendes,50319,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV,2019,07
125,126,ocean eyes,Billie Eilish,50139,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,2019,07
126,127,Perfect,Ed Sheeran,50107,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2019,07
127,128,Hotel California - 2013 Remaster,Eagles,49889,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv,2019,07
128,129,"Don't Give Up On Me - (From ""Five Feet Apart"")",Andy Grammer,49816,https://open.spotify.com/track/4Y0TtDriFlN3XZoQx6PYsu,2019,07
129,130,Going Bad (feat. Drake),Meek Mill,49793,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019,07
130,131,Who Do You Love,The Chainsmokers,49678,https://open.spotify.com/track/5QiNbIilmMiMBXvaAlf7lN,2019,07
131,132,"break up with your girlfriend, i'm bored",Ariana Grande,49656,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,2019,07
132,133,Girls Like You (feat. Cardi B),Maroon 5,49561,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019,07
133,134,Lucid Dreams,Juice WRLD,49210,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019,07
134,135,Jocelyn Flores,XXXTENTACION,48842,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,2019,07
135,136,Don’t Forget Your Roots,SIX60,48828,https://open.spotify.com/track/5mUiad5pDU1wFvIbtKgJKB,2019,07
136,137,Murder On My Mind,YNW Melly,48264,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC,2019,07
137,138,Nothing On You (feat. Paulo Londra & Dave),Ed Sheeran,47521,https://open.spotify.com/track/2qRN7PWiHRLprw4FpDeI9N,2019,07
138,139,Too Good At Goodbyes,Sam Smith,46230,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,2019,07
139,140,Mad Love,Mabel,46085,https://open.spotify.com/track/79JBjIq90BrQ8Ws0pUhlzD,2019,07
140,141,High Hopes,Panic! At The Disco,45916,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019,07
141,142,Sweet Home Alabama,Lynyrd Skynyrd,45867,https://open.spotify.com/track/7e89621JPkKaeDSTQ3avtg,2019,07
142,143,Shotta Flow (Feat. Blueface) [Remix],NLE Choppa,45749,https://open.spotify.com/track/67XyC1GdSkKb9sbRRkUDXS,2019,07
143,144,Outta My Head (with John Mayer),Khalid,45745,https://open.spotify.com/track/09oZ9eXQ2fo6YDrPzJqAoP,2019,07
144,145,SAD!,XXXTENTACION,45622,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019,07
145,146,Psycho (feat. Ty Dolla $ign),Post Malone,45440,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,2019,07
146,147,Walk Me Home,P!nk,45346,https://open.spotify.com/track/6jfEZdUJ2Yla6h7gTJgKuo,2019,07
147,148,Here With Me,Marshmello,45298,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac,2019,07
148,149,Thunder,Imagine Dragons,45073,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,2019,07
149,150,No Role Modelz,J. Cole,44980,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8,2019,07
150,151,Old Town Road - Remix,Lil Nas X,44977,https://open.spotify.com/track/6jmZlyf9DxcIoRrjw02YXm,2019,07
151,152,Sanctuary,Joji,44817,https://open.spotify.com/track/3xaugmCyXrVkrDTXbFkMW3,2019,07
152,153,Don’t Give It Up,SIX60,44296,https://open.spotify.com/track/5YOqfElMeshCt5oRk4yAgx,2019,07
153,154,Riptide,Vance Joy,44255,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm,2019,07
154,155,Young Dumb & Broke,Khalid,44131,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,2019,07
155,156,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,44009,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo,2019,07
156,157,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,44005,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e,2019,07
157,158,Heaven,Avicii,43796,https://open.spotify.com/track/0vrmHPfoBadXVr2n0m1aqZ,2019,07
158,159,How To Fly,Sticky Fingers,43526,https://open.spotify.com/track/3jAoLij05OiNndX2XlSRdS,2019,07
159,160,CIVIL WAR - Bonus,Russ,43387,https://open.spotify.com/track/5tmu5pAFHkUSl8Fo8ncyA4,2019,07
160,161,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,43355,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z,2019,07
161,162,gone girl,iann dior,43240,https://open.spotify.com/track/6G0FACzGN80Dj2v4ass5rq,2019,07
162,163,Party In The U.S.A.,Miley Cyrus,43028,https://open.spotify.com/track/3E7dfMvvCLUddWissuqMwr,2019,07
163,164,Don't Stop Me Now - Remastered 2011,Queen,42567,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,2019,07
164,165,Worth It,YK Osiris,42484,https://open.spotify.com/track/4XiGKQqbmnMVxDzUj6j3f2,2019,07
165,166,Isis,Joyner Lucas,42364,https://open.spotify.com/track/36TO60sxDduIsO3xH8IcUh,2019,07
166,167,Brown Eyed Girl,Van Morrison,42283,https://open.spotify.com/track/3yrSvpt2l1xhsV9Em88Pul,2019,07
167,168,BROWN SKIN GIRL,Blue Ivy,42002,https://open.spotify.com/track/0B3FovCVaGKS5w1FTidEUP,2019,07
168,169,Love Someone,Lukas Graham,41979,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019,07
169,170,The Chain - 2004 Remaster,Fleetwood Mac,41855,https://open.spotify.com/track/5e9TFTbltYBg2xThimr0rU,2019,07
170,171,Thinking out Loud,Ed Sheeran,41827,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,2019,07
171,172,Summer Of '69,Bryan Adams,41702,https://open.spotify.com/track/6N1EjQjnvhOjFrF6oUmGPa,2019,07
172,173,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,41698,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019,07
173,174,Nights Like This (feat. Ty Dolla $ign),Kehlani,41499,https://open.spotify.com/track/6ZRuF2n1CQxyxxAAWsKJOy,2019,07
174,175,Tennessee Whiskey,Chris Stapleton,41410,https://open.spotify.com/track/3fqwjXwUGN6vbzIwvyFMhx,2019,07
175,176,Promises (with Sam Smith),Calvin Harris,41343,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019,07
176,177,Dancing On My Own,Calum Scott,41055,https://open.spotify.com/track/2BOqDYLOJBiMOXShCV1neZ,2019,07
177,178,The Middle,Zedd,40991,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,2019,07
178,179,Don't Call Me Up,Mabel,40965,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,2019,07
179,180,Focus (feat. 21 Savage),Bazzi,40955,https://open.spotify.com/track/12iDo4Kdw9vA2X1lN3UTVu,2019,07
180,181,Believer,Imagine Dragons,40734,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,2019,07
181,182,Best Part (feat. Daniel Caesar),H.E.R.,40696,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig,2019,07
182,183,Moonlight,XXXTENTACION,40650,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019,07
183,184,Rum Rage,Sticky Fingers,40554,https://open.spotify.com/track/5uBK8Ap1BCEc4GgMcEjeic,2019,07
184,185,Giant (with Rag'n'Bone Man),Calvin Harris,40438,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,2019,07
185,186,ZEZE (feat. Travis Scott & Offset),Kodak Black,40387,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019,07
186,187,Get You The Moon (feat. Snøw),Kina,40246,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa,2019,07
187,188,God's Plan,Drake,40016,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2019,07
188,189,Your Song,Elton John,39845,https://open.spotify.com/track/38zsOOcu31XbbYj9BIPUF1,2019,07
189,190,Listen to the Music,The Doobie Brothers,39827,https://open.spotify.com/track/7Ar4G7Ci11gpt6sfH9Cgz5,2019,07
190,191,Havana (feat. Young Thug),Camila Cabello,39816,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,2019,07
191,192,Under Pressure - Remastered 2011,Queen,39805,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x,2019,07
192,193,My Bad,Khalid,39800,https://open.spotify.com/track/2XKFnwB6djxrJCjR3PdeRb,2019,07
193,194,Another One Bites The Dust - Remastered 2011,Queen,39739,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,2019,07
194,195,Pumped Up Kicks,Foster The People,39383,https://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT,2019,07
195,196,Nightmare,Halsey,39254,https://open.spotify.com/track/340UVheS8z3ncW9TTUhAbc,2019,07
196,197,Sweet Child O' Mine,Guns N' Roses,39254,https://open.spotify.com/track/7o2CTH4ctstm8TNelqjb51,2019,07
197,198,HUMBLE.,Kendrick Lamar,39242,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,2019,07
198,199,Bruises,Lewis Capaldi,39229,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG,2019,07
199,200,September,"Earth, Wind & Fire",39214,https://open.spotify.com/track/1mqlc0vEP9mU1kZgTi6LIQ,2019,07
0,1,Señorita,Shawn Mendes,322368,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019,08
1,2,Dance Monkey,Tones And I,288978,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2019,08
0,1,Dance Monkey,Tones And I,408151,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2019,09
1,2,Circles,Post Malone,325130,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2019,09
0,1,Dance Monkey,Tones And I,416018,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2019,10
1,2,Circles,Post Malone,322702,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2019,10
0,1,ROXANNE,Arizona Zervas,462218,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,2019,11
1,2,Dance Monkey,Tones And I,373037,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2019,11
0,1,All I Want for Christmas Is You,Mariah Carey,471901,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,2019,12
1,2,Last Christmas,Wham!,419850,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,2019,12
0,1,The Box,Roddy Ricch,370136,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,2020,01
1,2,Godzilla (feat. Juice WRLD),Eminem,318446,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,2020,01
0,1,The Box,Roddy Ricch,351285,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,2020,02
1,2,Intentions (feat. Quavo),Justin Bieber,346614,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,2020,02
0,1,Blinding Lights,The Weeknd,334980,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,2020,03
1,2,Supalonely,BENEE,311027,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw,2020,03
0,1,THE SCOTTS,THE SCOTTS,315982,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,2020,04
1,2,Roses - Imanbek Remix,SAINt JHN,279153,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,2020,04
0,1,ROCKSTAR (feat. Roddy Ricch),DaBaby,400020,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,2020,05
1,2,Rain On Me (with Ariana Grande),Lady Gaga,256194,https://open.spotify.com/track/24ySl2hOPGCDcxBxFIqWBu,2020,05
0,1,Savage Love (Laxed - Siren Beat),Jawsh 685,365027,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,2020,06
1,2,ROCKSTAR (feat. Roddy Ricch),DaBaby,333692,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,2020,06
0,1,Savage Love (Laxed - Siren Beat),Jawsh 685,384858,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,2020,07
1,2,ROCKSTAR (feat. Roddy Ricch),DaBaby,264998,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,2020,07
0,1,WAP (feat. Megan Thee Stallion),Cardi B,491966,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,2020,08
1,2,Savage Love (Laxed - Siren Beat),Jawsh 685,305242,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,2020,08
0,1,WAP (feat. Megan Thee Stallion),Cardi B,401549,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,2020,09
1,2,Mood (feat. iann dior),24kGoldn,392894,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,2020,09
0,1,Mood (feat. iann dior),24kGoldn,330060,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,2020,10
1,2,Holy (feat. Chance The Rapper),Justin Bieber,290637,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,2020,10
0,1,positions,Ariana Grande,272606,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,2020,11
1,2,Mood (feat. iann dior),24kGoldn,270502,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,2020,11
0,1,Why Oh Why,L.A.B.,381697,https://open.spotify.com/track/3TaGtHDHWQ7TfPpX0eJrtB,2020,12
1,2,In The Air,L.A.B.,294682,https://open.spotify.com/track/4d2tgzpNhQO8HIxC4YLnBe,2020,12
